date,season,Region,PM,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
2015-01-01T00:00:00Z,Winter,Dongsi,5,-21,29,1034,-6,SE,0.89,0,0
2015-01-01T01:00:00Z,Winter,Dongsi,4,-22,23,1034,-4,NW,4.92,0,0
2015-01-01T02:00:00Z,Winter,Dongsi,3,-21,27,1034,-5,NW,8.94,0,0
2015-01-01T03:00:00Z,Winter,Dongsi,4,-21,29,1035,-6,NW,12.96,0,0
2015-01-01T04:00:00Z,Winter,Dongsi,3,-21,27,1034,-5,NW,16.98,0,0
2015-01-01T05:00:00Z,Winter,Dongsi,3,-22,23,1034,-4,NW,24.13,0,0
2015-01-01T06:00:00Z,Winter,Dongsi,3,-23,22,1034,-5,NW,25.92,0,0
2015-01-01T07:00:00Z,Winter,Dongsi,3,-22,26,1035,-6,SE,1.79,0,0
2015-01-01T09:00:00Z,Winter,Dongsi,5,-22,24,1035,-5,NE,1.79,0,0
2015-01-01T10:00:00Z,Winter,Dongsi,4,-22,21,1035,-3,NE,4.92,0,0
2015-01-01T11:00:00Z,Winter,Dongsi,21,-22,19,1034,-2,cv,1.79,0,0
2015-01-01T12:00:00Z,Winter,Dongsi,41,-22,17,1032,0,cv,3.58,0,0
2015-01-01T13:00:00Z,Winter,Dongsi,40,-22,16,1030,1,SE,3.13,0,0
2015-01-01T14:00:00Z,Winter,Dongsi,28,-23,13,1029,2,SE,6.26,0,0
2015-01-01T15:00:00Z,Winter,Dongsi,29,-23,13,1028,2,SE,9.39,0,0
2015-01-01T16:00:00Z,Winter,Dongsi,31,-24,12,1027,2,SE,13.41,0,0
2015-01-01T17:00:00Z,Winter,Dongsi,52,-23,14,1027,1,SE,16.54,0,0
2015-01-01T18:00:00Z,Winter,Dongsi,64,-21,20,1026,-1,SE,19.67,0,0
2015-01-01T19:00:00Z,Winter,Dongsi,75,-19,25,1026,-2,cv,0.89,0,0
2015-01-01T20:00:00Z,Winter,Dongsi,82,-19,34,1026,-6,NE,1.79,0,0
2015-01-01T21:00:00Z,Winter,Dongsi,88,-19,40,1026,-8,NE,2.68,0,0
2015-01-01T22:00:00Z,Winter,Dongsi,86,-18,38,1026,-6,NW,1.79,0,0
2015-01-01T23:00:00Z,Winter,Dongsi,80,-17,48,1027,-8,NE,1.79,0,0
2015-01-02T00:00:00Z,Winter,Dongsi,82,-18,32,1027,-4,NW,1.79,0,0
2015-01-02T01:00:00Z,Winter,Dongsi,81,-19,32,1028,-5,NW,4.92,0,0
2015-01-02T02:00:00Z,Winter,Dongsi,68,-18,35,1028,-5,NW,9.84,0,0
2015-01-02T03:00:00Z,Winter,Dongsi,35,-18,28,1029,-2,NE,4.92,0,0
2015-01-02T04:00:00Z,Winter,Dongsi,16,-18,30,1030,-3,NE,8.94,0,0
2015-01-02T05:00:00Z,Winter,Dongsi,8,-18,30,1030,-3,NE,12.07,0,0
