year,under_18,between_18_and_25,under_25
2017,32778,150693,183471
2016,35743,168914,204657
2015,43839,192502,236341
2014,50415,199161,249576
2013,55817,209622,265439
2012,63782,219208,282990
2011,67280,215149,282429
2010,68193,219785,287978
2009,77604,224419,302023
2008,88891,233170,322061
2007,87506,228792,316298
2006,83697,219934,303631
2005,82692,203109,285801
2004,70086,178748,248834
2003,58870,172845,231715
2002,50030,167879,217909
2001,49883,203582,253465
2000,41709,179272,220981
1999,40014,181139,221153
1998,33612,174464,208076
1997,30446,168766,199212
